"Timestamp","Entering Grade Level","District","Birth Month","OLSAT Verbal Score","OLSAT Verbal Percentile","NNAT Non Verbal Raw Score","NNAT Non Verbal Percentile","Overall Score","School Preferences","School Assigned","Will you enroll there?"
2017-04-10 16:09:49,"K",3,"August",29,99,37,99,99,"Anderson",NA,"Yes"
2018-03-26 20:00:00,"1",2,"April",29,99,37,99,99,NA,NA,NA
2017-04-11 16:01:30,"K",2,"July",18,83,38,99,95,NA,NA,"Maybe"
2017-04-26 10:44:10,"K",31,"January",19,81,38,99,95,"PS50,PS229,PS205,PS53",NA,"Yes"
2017-06-01 13:27:50,"K",3,"January",23,93,38,99,97,"539, 334, 166, 77, 11, 163, 12","163","Maybe"
2017-06-01 13:24:36,"K",22,"April",25,98,38,99,99,"Brooklyn School of Inquiry","Brooklyn School of Inquiry","Yes"
2018-03-26 20:00:00,"1",2,"April",25,99,38,99,99,"NEST+M",NA,NA
2017-04-24 14:23:22,"K",28,"July",27,99,38,99,99,NA,NA,NA
2017-04-08 04:54:04,"K",28,"July",28,99,38,99,99,NA,NA,NA
2017-04-10 06:18:34,"K",22,"April",NA,98,38,99,99,"Brooklyn School of Inquiry","Currently - local Brooklyn dual language","Maybe"
2017-04-07 07:57:06,"K",NA,"June",17,77,39,99,94,NA,NA,"Maybe"
2018-03-26 20:00:00,"1",2,"April",18,84,39,99,95,NA,NA,NA
2017-04-27 07:28:40,"K",2,"November",20,90,39,99,96,"PS11",NA,"Maybe"
2018-06-04 20:00:00,"K",13,"April",20,90,39,99,96,"PS38","PS38","Yes"
2017-04-28 04:37:25,"K",2,"March",21,90,39,99,96,"LL, 198, 11, 130, 217, 124, 33",NA,NA
2018-03-26 20:00:00,"1",2,"February",22,94,39,99,94,"PS166",NA,NA
2017-04-13 09:10:00,"K",3,"April",23,96,39,99,98,NA,NA,NA
2017-06-02 09:20:23,"K",3,"April",23,96,39,99,98,NA,"PS166","Yes"
2018-03-26 20:00:00,"1",2,"August",23,98,39,99,99,"Lower Lab / Anderson",NA,"Maybe"
2017-04-07 08:36:07,"1",NA,"July",24,86,39,98,94,NA,NA,NA
2018-03-27 20:00:00,"K",25,"October",24,99,39,99,99,"Q300, NEST",NA,NA
2017-04-07 06:40:45,"K",NA,"August",25,99,39,99,99,"Anderson, NEST+m",NA,"Maybe"
2017-06-06 13:11:07,"K",2,"April",25,98,39,99,99,"LL, Anderson, Nest+m, 198","Lower Lab","Yes"
2017-04-25 06:14:23,"1",2,"January",26,97,39,99,0,"na",NA,"No"
2017-04-29 17:58:21,"3",3,"March",30,99,39,99,99,NA,NA,NA
2017-04-10 05:35:21,"K",20,"May",19,87,40,99,96,"PS229",NA,"No"
2018-03-28 20:00:00,"K",2,"July",21,95,40,99,98,"NEST+M, TAG",NA,"Yes"
2017-05-05 17:44:21,"K",28,"March",22,94,40,98,96,NA,NA,NA
2017-04-07 06:43:31,"K",NA,"September",23,97,40,99,98,NA,NA,NA
2017-05-24 09:37:41,"K",30,"February",23,95,40,99,98,"300, 217, 122, 166",NA,"Yes"
2018-03-27 20:00:00,"K",2,"April",23,96,40,99,98,"LL, PS 198, PS 11, PS 33, PS130",NA,NA
2018-04-09 20:00:00,"K",3,"April",23,96,40,99,98,"Anderson or 166 but not expecting to get in",NA,NA
2017-04-21 13:31:21,"K",3,"April",24,97,40,99,99,NA,NA,NA
2017-04-25 10:00:06,"K",2,"January",24,96,40,99,98,NA,NA,NA
2018-02-13 19:00:00,"K",30,"October",24,99,40,99,99,"NEST,Q300,PS122,Ps85","NEST","Yes"
2017-04-20 16:32:27,"K",21,"March",25,98,40,99,99,"Nest+m, BSI",NA,"Maybe"
2018-03-26 20:00:00,"K",26,"November",25,99,40,99,99,"NEST+M",NA,NA
2017-04-07 09:16:38,"K",NA,"January",26,99,40,99,99,NA,NA,NA
2017-04-13 12:21:18,"K",32,"February",26,99,40,99,99,"Nest","n/a","No"
2017-09-14 12:39:55,"K",32,"February",26,99,40,99,99,NA,NA,"Maybe"
2018-03-27 20:00:00,"K",3,"March",26,99,40,99,99,NA,NA,NA
2018-04-15 20:00:00,"K",2,"August",26,99,40,99,99,"Anderson",NA,"Yes"
2018-05-31 20:00:00,"K",3,"May",26,99,40,99,99,"Anderson, TAG, 166, 163","TAG","No"
2017-04-25 09:47:57,"2",30,"July",29,99,40,99,99,"NEST, Anderson, 30th Av",NA,"Maybe"
2017-04-10 04:30:29,"K",11,"March",NA,97,40,99,98,"Tag","175","Maybe"
2017-05-05 17:41:31,"K",28,"May",NA,94,40,98,96,"144, 174",NA,NA
2018-03-28 20:00:00,"K",1,"June",20,90,41,99,97,"Keeping her in PS42M.",NA,"No"
2017-04-12 19:47:39,"K",26,"July",22,86,41,99,96,NA,NA,"Yes"
2017-04-07 12:19:39,"1",NA,"June",25,89,41,99,96,NA,NA,NA
2017-04-26 09:16:22,"K",2,"January",25,98,41,99,99,"Anderson,NEST+m,LL,PS11",NA,NA
2017-05-24 10:32:37,"K",26,"February",25,98,41,99,99,"Nest, Q300, PS188, PS203",NA,NA
2018-03-26 20:00:00,"K",22,"December",27,99,41,99,99,NA,NA,NA
2018-03-27 20:00:00,"K",24,"September",27,98,41,99,99,NA,NA,NA
2018-03-26 20:00:00,"K",14,"June",27,94,41,99,97,NA,NA,NA
2017-04-08 05:41:44,"1",3,"November",28,99,41,99,99,"Anderson, NEST+M, Lower Lab",NA,"Yes"
2017-05-07 14:56:39,"1",1,"October",28,99,41,99,99,"Nest, Anderson",NA,"Yes"
2017-06-01 19:31:05,"K",2,"January",28,99,41,99,99,"Anderson, NEST+T, Lower Lab, TAG","Anderson","Yes"
2017-05-03 13:06:18,"1",17,"February",21,69,42,99,92,"316, 38,",NA,"Maybe"
2017-04-06 20:00:00,"1",NA,"March",23,81,42,99,95,NA,NA,NA
2018-03-26 20:00:00,"2",13,"September",23,98,42,99,99,"Brooklyn PS9",NA,"Maybe"
2017-04-07 07:26:16,"K",NA,"October",24,99,42,99,99,"Nest+M, Anderson",NA,"Yes"
2017-04-13 10:33:37,"1",2,"January",24,86,42,99,0,NA,NA,"Yes"
2018-03-26 20:00:00,"2",13,"May",24,99,42,99,99,"NEST+M",NA,NA
2018-03-26 20:00:00,"K",3,"September",24,99,42,99,99,"Anderson, NEST+M, 166, TAG, 163","NEST+M","Yes"
2018-03-26 20:00:00,"1",2,"July",25,99,42,99,99,"Anderson, TAG, Nest",NA,NA
2017-04-07 07:15:28,"K",NA,"February",26,99,42,99,99,"Anderson NEST TAG Q300",NA,NA
2017-04-07 06:41:56,"1",NA,"March",27,96,42,99,98,NA,NA,"Maybe"
2018-03-26 20:00:00,"2",2,"August",27,98,42,99,99,"Anderson, NEST",NA,NA
2018-03-26 20:00:00,"K",28,"September",27,98,42,99,99,"Q300, NEST+M",NA,"Maybe"
2017-04-17 18:12:28,"K",2,"September",28,99,42,99,99,NA,NA,NA
2018-04-01 20:00:00,"K",28,"December",28,99,42,99,99,"NEST+M, otherwise stay at PS174Q G&T",NA,"Maybe"
2017-06-01 16:46:58,"K",2,"April",29,99,42,99,99,"Anderson, Nest+M, Lower Lab, BSI, 33,11,111","Lower Lab","Yes"
2018-06-03 20:00:00,"K",3,"February",29,99,42,99,99,"Anderson, TAG",NA,"Maybe"
